千代田,1753
中央,(1676)
港,5438
新宿,(5206)
文京,9690
台東,(9318)
墨田,17076
江東,(16370)
品川,5060
目黒,(4719)
大田,6242
世田谷,26700
渋谷,(24463)
中野,9491
杉並,(8912)
豊島,11606
北,(10792)
荒川,15018
板橋,(13490)
練馬,10119
足立,(9481)
葛飾,8850
江戸川,17187
八王子,(15801)
立川,9192
武蔵野,(8460)
三鷹,3089
青梅,(2883)
府中,2989
昭島,(2719)
調布,3560
町田,(3200)
小金井,1547
小平,2782
日野,(2516)
東村山,2665
国分寺,(2511)
国立,1994
福生,(1776)
狛江,1975
東大和,(1811)
清瀬,1056
東久留米,(987)
武蔵村山,1025
多摩,2013
稲城,(1871)
羽村,1411
あきる野,(1303)
西東京,751
瑞穂,(688)
日の出,1053
檜原,(990)
奥多摩,3870
大島,(3551)
利島,380
新島,14
神津島,(14)
三宅,2
御蔵島,(1)
八丈,13
青ヶ島,(12)
小笠原,2
都外,(2)
調査中,15
